date,open,high,low,close,per_change,volume,traded_amount,symbol
2024-09-11,622.0,626.0,602.0,605.0,-0.82,32094.0,19635330.1,PFL
2024-09-12,609.0,631.3,602.1,626.0,3.47,41040.0,25413134.5,PFL
2024-09-15,637.0,638.0,606.0,607.0,-3.04,62297.0,38704970.3,PFL
2024-09-16,605.0,613.9,579.0,580.5,-4.37,47075.0,27712168.8,PFL
2024-09-18,580.5,584.0,568.4,584.0,0.6,42557.0,24421235.4,PFL
2024-09-22,573.9,608.6,573.9,590.0,1.03,31155.0,18482438.1,PFL
2024-09-23,580.1,597.8,537.1,568.0,-3.73,45783.0,25532900.8,PFL
2024-09-24,565.0,572.0,518.0,530.0,-6.69,44124.0,23620313.7,PFL
2024-09-25,525.0,551.0,508.0,544.9,2.81,17336.0,9223013.0,PFL
2024-09-26,552.0,565.0,512.0,565.0,3.69,38966.0,20765444.8,PFL
2024-09-29,554.0,554.0,526.6,553.8,-1.98,33972.0,18225484.0,PFL
2024-09-30,564.8,564.8,520.0,564.0,1.84,22958.0,12740393.4,PFL
2024-10-01,569.0,620.0,566.9,619.9,9.91,66278.0,39961834.5,PFL
2024-10-02,632.2,637.5,596.0,637.5,2.84,74983.0,46571717.1,PFL
2024-10-06,637.5,665.0,615.1,665.0,4.31,54311.0,35548390.2,PFL
2024-10-07,665.0,675.0,640.0,640.0,-3.76,40642.0,26794281.5,PFL
2024-10-08,637.0,643.0,619.0,620.0,-3.13,10222.0,6428680.6,PFL
2024-10-09,617.0,632.0,610.0,620.0,0.0,16936.0,10542244.8,PFL
2024-10-15,620.1,649.9,620.1,643.0,3.71,20922.0,13363969.0,PFL
2024-10-16,653.8,655.5,633.2,645.0,0.31,30968.0,19977555.8,PFL
2024-10-17,650.0,709.0,632.0,672.2,4.22,158193.0,106234295.0,PFL
2024-10-20,660.0,683.0,635.0,650.1,-3.29,77168.0,51349447.6,PFL
2024-10-21,650.1,662.0,628.0,630.0,-3.09,37863.0,24236583.2,PFL
2024-10-22,621.8,663.0,621.8,653.0,3.65,34719.0,22447535.4,PFL
2024-10-23,666.0,670.1,638.0,652.0,-0.15,58132.0,38134801.5,PFL
2024-10-24,657.5,660.0,640.0,643.0,-1.38,29162.0,18873291.8,PFL
2024-10-27,655.0,655.0,634.0,645.8,0.44,34753.0,22488885.4,PFL
2024-10-28,657.9,670.0,638.0,669.0,3.59,53229.0,35304653.8,PFL
2024-10-29,681.0,688.0,655.0,669.0,0.0,75472.0,50934190.8,PFL
2024-10-30,670.0,675.8,645.1,660.0,-1.35,41926.0,27542284.5,PFL
2024-11-05,667.0,672.0,652.1,656.9,-0.47,12846.0,8422245.5,PFL
2024-11-06,668.6,668.6,648.8,655.0,-0.29,35223.0,23211057.3,PFL
2024-11-10,655.0,677.9,652.0,674.0,2.9,61153.0,40993483.2,PFL
2024-11-11,683.0,688.6,661.1,669.0,-0.74,69185.0,46778520.1,PFL
2024-11-12,669.0,713.9,664.2,692.4,3.5,136089.0,93554380.5,PFL
2024-11-13,699.0,761.6,699.0,761.6,9.99,346450.0,258944170.3,PFL
2024-11-14,761.0,794.0,761.0,765.0,0.45,127964.0,99561441.8,PFL
2024-11-17,780.3,780.3,735.0,743.0,-2.88,214628.0,160816126.3,PFL
2024-11-19,745.0,794.9,745.0,773.0,4.04,322179.0,249274171.6,PFL
2024-11-20,788.4,788.4,763.0,770.0,-0.39,94242.0,72623203.2,PFL
2024-11-21,770.0,779.0,730.0,736.0,-4.42,128875.0,96773307.2,PFL
2024-11-24,737.0,756.0,722.0,730.0,-0.82,100896.0,74625719.8,PFL
2024-11-25,744.6,750.0,730.0,740.0,1.37,138230.0,102409167.3,PFL
2024-11-26,740.0,760.0,731.0,744.0,0.54,148865.0,110247342.4,PFL
2024-11-27,758.8,758.8,730.0,734.0,-1.34,132211.0,97313020.3,PFL
2024-11-28,743.9,743.9,710.1,712.0,-3.0,130423.0,93836982.6,PFL
2024-12-01,710.0,725.0,697.8,716.0,0.56,84039.0,60095490.6,PFL
2024-12-02,716.0,724.0,691.0,692.0,-3.35,97882.0,69280127.9,PFL
2024-12-03,695.0,727.2,695.0,705.0,1.88,71513.0,50834492.3,PFL
2024-12-04,719.0,719.0,691.1,695.1,-1.4,72748.0,51165263.5,PFL
2024-12-05,696.0,700.0,662.0,669.0,-3.75,82112.0,55542707.7,PFL
2024-12-08,665.0,678.0,650.0,650.1,-2.83,55974.0,36811199.4,PFL
2024-12-09,645.1,674.0,645.1,674.0,3.68,87952.0,57848158.2,PFL
2024-12-10,674.0,680.0,661.0,667.9,-0.91,22240.0,14833023.1,PFL
2024-12-11,666.0,690.0,658.0,683.0,2.26,56467.0,38233104.7,PFL
2024-12-12,670.0,710.0,656.6,657.0,-3.81,52232.0,34820162.1,PFL
